37	63	163	198	154	195	246	221	407	581	516	509	628	705	1003
88	94	96	126	175	206	268	201	512	587	607	586	559	683	748
105	124	112	139	188	215	259	220	568	546	529	641	610	690	860
174	149	146	165	218	221	276	314	548	527	569	687	738	749	922
106	69	155	180	236	216	278	313	485	409	620	613	666	654	870
136	79	69	196	143	230	289	304	525	633	615	559	605	666	838
165	100	114	118	139	231	179	295	504	623	615	483	559	811	973
72	149	122	137	173	240	194	296	462	629	543	540	668	739	825
106	63	134	148	196	176	206	312	533	533	593	650	696	653	886
145	97	172	164	207	160	228	301	519	615	601	559	617	629	861
56	119	95	185	208	166	217	287	486	507	590	643	687	634	769
85	150	114	214	209	169	212	296	579	530	570	523	575	657	855
116	167	137	118	121	206	226	297	500	538	719	544	811	715	1038
145	95	156	134	148	206	226	299	556	489	624	660	611	706	866
67	121	91	156	165	209	212	313	501	518	614	618	772	662	890
96	139	94	176	174	203	248	311	443	627	522	619	667	629	782
126	164	134	197	178	224	256	307	428	629	508	564	685	773	877
146	89	164	112	210	236	247	295	463	642	522	602	697	702	759
67	120	76	129	202	249	250	304	415	593	523	540	641	659	900
93	129	115	145	226	237	268	323	413	659	587	666	627	725	872
126	159	132	460	150	232	268	528	508	563	502	607	517	780	841
158	89	165	177	158	222	274	470	408	476	600	533	628	723	822
76	122	97	195	172	177	256	507	496	524	565	509	608	664	867
110	138	104	111	166	153	260	456	488	512	623	545	607	729	833
136	164	123	134	179	174	262	440	526	589	533	531	605	692	799
174	89	153	143	188	198	285	404	522	500	540	593	524	739	818
78	121	77	167	215	204	248	338	455	454	597	610	739	794	752
107	139	104	177	234	194	189	407	432	568	620	851	704	810	746
139	69	132	177	149	198	296	337	508	631	622	515	582	675	735
55	99	154	210	168	221	198	433	470	595	606	583	614	774	782
71	132	173	119	158	211	187	398	476	535	445	589	622	652	793
